"","site_transect","sitename","transect_no","CORAL","OI","MA_noHALI","BCA","CCA","SAND","FCA","RUB","TURF","HALI","calcifiers","noncalcifiers","BSR"
"1","Aasu_1","Aasu",1,23.0769230769231,0.769230769230769,2.30769230769231,3.07692307692308,16.9230769230769,0.769230769230769,8.46153846153846,1.53846153846154,37.6923076923077,5.38461538461539,48.4615384615385,48.4615384615385,1
"2","Aasu_2","Aasu",2,46.1538461538462,2.30769230769231,1.53846153846154,2.30769230769231,10.7692307692308,0,7.69230769230769,0,29.2307692307692,0,59.2307692307693,38.4615384615384,1.54
"3","Aasu_3","Aasu",3,35.3846153846154,0,0,0,18.4615384615385,0,16.9230769230769,0,26.9230769230769,0,53.8461538461539,43.8461538461538,1.2280701754386
"4","Aasu_4","Aasu",4,28.4615384615385,1.53846153846154,0,0,33.0769230769231,0.769230769230769,21.5384615384615,0,14.6153846153846,0,61.5384615384616,36.1538461538461,1.70212765957447
"5","Aasu_5","Aasu",5,34.6153846153846,0,2.30769230769231,0,35.3846153846154,0,19.2307692307692,0,10.7692307692308,0,70,32.3076923076923,2.16666666666667
"6","Aasu_6","Aasu",6,39.2307692307692,1.53846153846154,0,0,31.5384615384615,0,24.6153846153846,0,3.07692307692308,0,70.7692307692307,27.6923076923077,2.55555555555555
"7","Afono_1","Afono",1,18.4615384615385,0.769230769230769,0.769230769230769,13.0769230769231,0,0,25.3846153846154,0,6.15384615384615,35.3846153846154,66.923076923077,32.3076923076923,2.07142857142857
"8","Afono_2","Afono",2,17.6923076923077,0,0.769230769230769,10,8.46153846153846,6.92307692307692,20.7692307692308,0,11.5384615384615,23.8461538461538,60,33.0769230769231,1.81395348837209
"9","Afono_3","Afono",3,26.1538461538462,1.53846153846154,0.769230769230769,10,5.38461538461539,3.84615384615385,28.4615384615385,0,8.46153846153846,15.3846153846154,56.923076923077,37.6923076923077,1.51020408163265
"10","Afono_4","Afono",4,15.2,0,0,12.8,4.8,0,24.8,0,9.6,32.8,65.6,34.4,1.90697674418605
"11","Afono_5","Afono",5,16.1538461538462,0,0,18.4615384615385,12.3076923076923,0,20,0,2.30769230769231,30.7692307692308,77.6923076923078,22.3076923076923,3.48275862068966
"12","Afono_6","Afono",6,11.5384615384615,0,2.30769230769231,21.5384615384615,11.5384615384615,0,22.3076923076923,0,3.84615384615385,26.9230769230769,71.5384615384614,28.4615384615385,2.51351351351351
"13","Alega_1","Alega",1,13.8461538461538,15.3846153846154,4.61538461538461,0,31.5384615384615,0,33.8461538461538,0,0.769230769230769,0,45.3846153846153,39.2307692307692,1.15686274509804
"14","Alega_2","Alega",2,7.69230769230769,13.0769230769231,12.3076923076923,0,33.0769230769231,0,32.3076923076923,0,1.53846153846154,0,40.7692307692308,46.1538461538461,0.883333333333334
"15","Alega_3","Alega",3,8.46153846153846,13.8461538461538,6.92307692307692,0,38.4615384615385,0,26.1538461538462,0,1.53846153846154,4.61538461538461,51.5384615384616,34.6153846153847,1.48888888888889
"16","Alega_4","Alega",4,23.0769230769231,9.23076923076923,3.84615384615385,0.769230769230769,31.5384615384615,3.84615384615385,22.3076923076923,0,4.61538461538461,0,55.3846153846154,30.7692307692308,1.8
"17","Alega_5","Alega",5,10.7692307692308,10,4.61538461538461,0.769230769230769,26.9230769230769,3.84615384615385,33.8461538461538,0,2.30769230769231,6.15384615384615,44.6153846153846,40.7692307692307,1.09433962264151
"18","Alega_6","Alega",6,3.84615384615385,10.7692307692308,1.53846153846154,1.53846153846154,46.1538461538462,0,33.0769230769231,0,0,3.07692307692308,54.6153846153847,34.6153846153846,1.57777777777778
"19","Alofau_1","Alofau",1,8.46153846153846,0,2.30769230769231,2.30769230769231,27.6923076923077,0,46.1538461538462,0,12.3076923076923,0.769230769230769,39.2307692307692,60.7692307692308,0.645569620253164
"20","Alofau_2","Alofau",2,9.23076923076923,0,0,1.53846153846154,33.8461538461538,0,46.1538461538462,0,9.23076923076923,0,44.6153846153846,55.3846153846154,0.805555555555554
"21","Alofau_3","Alofau",3,16.9230769230769,0,5.38461538461539,3.84615384615385,6.15384615384615,0,45.3846153846154,0,20.7692307692308,1.53846153846154,28.4615384615384,71.5384615384616,0.397849462365591
"22","Alofau_4","Alofau",4,5.38461538461539,0,11.5384615384615,0.769230769230769,9.23076923076923,1.53846153846154,54.6153846153846,0,16.1538461538462,0.769230769230769,16.1538461538462,82.3076923076923,0.196261682242991
"23","Alofau_5","Alofau",5,16,0.8,6.4,1.6,1.6,0.8,62.4,0,8.8,1.6,20.8,77.6,0.268041237113402
"24","Alofau_6","Alofau",6,20,0,3.07692307692308,6.15384615384615,6.92307692307692,0,45.3846153846154,0,12.3076923076923,6.15384615384615,39.2307692307692,60.7692307692308,0.645569620253164
"25","Amalau_1","Amalau",1,52.3076923076923,3.07692307692308,0,0,18.4615384615385,0,20,0,3.84615384615385,2.30769230769231,73.0769230769231,23.8461538461539,3.06451612903226
"26","Amalau_2","Amalau",2,60.7692307692308,0,0,0.769230769230769,16.1538461538462,0,17.6923076923077,0,0,4.61538461538461,82.3076923076924,17.6923076923077,4.65217391304348
"27","Amalau_3","Amalau",3,65.3846153846154,0,0,0,13.8461538461538,0,17.6923076923077,0,0.769230769230769,2.30769230769231,81.5384615384615,18.4615384615385,4.41666666666666
"28","Amalau_4","Amalau",4,46.9230769230769,1.53846153846154,0,0.769230769230769,17.6923076923077,0,30,0,3.07692307692308,0,65.3846153846154,33.0769230769231,1.97674418604651
