"","dispersion","ACROP","ACROPARB","ACROST","ACROTBL","ASTRP","CAUL","COSC","CTEN","CYPH","DIPLO","ECHPO","ECHPHY","FAV","FAVT","FUNG","GAL","GON","GONIO","HYD","ISOP","LEPT","LEPTOR","LEPTOS","LOBOPH","MERU","MILL","MONT","MONTI","OXYP","PACHY","PAV","PLAT","POC","POR","PORCYL","PORMAS","PORRUS","PSAM","STYLO","SYMP","TURBIN"
"1","High",0.18567328451715,0.0750801341431267,0,0.241436967233288,0.0938256462893647,0,0.0812255840322165,0,0,0.153033509518157,0.0597937990298535,0,0.0656496441419956,0.0405521101287818,0.025583527317567,0.0521070573165907,0.0408721971229905,0.152458290513123,0,0.025583527317567,0.0389046303400393,0.025583527317567,0.0183150183150183,0.454638154551398,0.0261004645292464,0.0183150183150183,0.0389046303400393,1.05341936912767,0,0,0.215134922069032,0.0560507000495243,0.130647236409674,0,0.271896451737572,0.453461667274076,1.02986258993462,0,0,0,0
"2","Low",0.339334027324319,0.546406936891633,0.112720045861612,0.539457110679276,0.112057076251704,0,0.0989192964321422,0.0366300366300367,0.0183150183150183,0,0.0309391487017293,0.0652881391673222,0.118687715805281,0.0881827484235818,0.025583527317567,0.0352644587795775,0.100490909908944,0.183952499791249,0.094217222679789,0.697784552036187,0.242551403642701,0.0574918271891224,0.025583527317567,0.148434073368171,0.054945054945055,0.0618782974034586,0.138067828609633,1.5197023523909,0.0183150183150183,0.093079116859092,0.723069998394539,0.104274452782163,0.213446635705166,0.0183150183150183,0.0183150183150183,0.110187512625802,0.778182111743979,0.0798845384450883,0,0.0183150183150183,0.0574918271891224
"3","Med",0.3151483766292,0.133832618206067,0.223904240730265,0.242422484031277,0.0498580286086192,0.0183150183150183,0.0966007009120263,0,0.0274725274725275,0.0476423303471027,0.0894711755268669,0.0301382590376114,0.0974321145703854,0.0779595976940287,0.0253493526556052,0.0709337609195497,0.0825217185400658,0.0891090799958161,0.0678767026503328,1.15894922029087,0.116577232747979,0.0404072219978302,0.00915750915750916,0.216435633692312,0.14834306676956,0.0199773033016466,0.0560711933575766,0.734212097655339,0,0,0.258840690793786,0.0399546066032932,0.11417742501462,0.0181635913160826,0.0754009422401599,0.155296131949741,0.898297102477895,0.0579433347520753,0.00915750915750916,0,0.144771997726332
