"","dispersion","CORAL","OI","MA_noHALI","BCA","CCA","SAND","FCA","RUB","TURF","HALI"
"1","High",1.79695401750717,0.749751499318877,0.854352109848038,0.975304300235812,2.14056536485857,1.23545912912096,2.53468972168168,0.900122471772541,1.98986333868906,0.803307440099655
"2","Low",1.43345802136486,0.197033558240961,0.548903566445446,0.297542582044237,1.30814317207102,0.054945054945055,1.22635765793479,0.0405521101287818,0.741316376834548,0.196524657259265
"3","Med",1.81010675651222,0.653083534600125,0.85104570790837,0.574677153015694,1.34714631551007,0.119758407934938,1.26866523745808,0.153590076872941,0.813539006307393,0.794660043183977
