,sitename,X.x,distances,rank,quartile,dispersion,X.y,site_transect,transect_no,CORAL,OI,MA,MA_noHALI,BCA,CCA,SAND,FCA,RUB,TURF,HALI,BSR
36,Amaluia,6,14.45268444,19,3,Med,35,Amaluia_5,5,40,3.076923077,6.153846154,5.384615385,0,19.23076923,0,23.07692308,0,8.461538462,0.769230769,1.625
37,Amanave,7,11.33516759,13,2,Med,37,Amanave_1,1,42.30769231,7.692307692,0,0,1.538461538,23.84615385,0,23.07692308,0,1.538461538,0,2.75
38,Amanave,7,11.33516759,13,2,Med,38,Amanave_2,2,53.84615385,13.07692308,0.769230769,0.769230769,0,21.53846154,0,10,0,0.769230769,0,6.533333333
40,Amanave,7,11.33516759,13,2,Med,40,Amanave_4,4,66.15384615,4.615384615,0,0,0,21.53846154,0,6.923076923,0,0.769230769,0,11.4
41,Amanave,7,11.33516759,13,2,Med,42,Amanave_6,6,53.84615385,5.384615385,0,0,0,33.84615385,0,6.153846154,0,0.769230769,0,12.66666667
42,Amanave,7,11.33516759,13,2,Med,39,Amanave_3,3,55.38461538,3.846153846,0,0,0,29.23076923,0,7.692307692,0,3.846153846,0,7.333333333
43,Amaua,8,16.52714946,25,4,High,44,Amaua_2,2,4.615384615,0.769230769,27.69230769,27.69230769,0,23.84615385,0,41.53846154,0,1.538461538,0,0.402173913
44,Amaua,8,16.52714946,25,4,High,43,Amaua_1,1,35.38461538,0.769230769,3.846153846,3.846153846,0,23.07692308,0,31.53846154,0,5.384615385,0,1.433962264
45,Amaua,8,16.52714946,25,4,High,45,Amaua_3,3,9.230769231,0,13.84615385,13.84615385,0,36.92307692,0,36.92307692,0,3.076923077,0,0.857142857
46,Amaua,8,16.52714946,25,4,High,46,Amaua_4,4,6.153846154,6.923076923,10.76923077,10.76923077,0,27.69230769,0,48.46153846,0,0,0,0.571428571
47,Amaua,8,16.52714946,25,4,High,47,Amaua_5,5,1.538461538,13.07692308,12.30769231,12.30769231,0,29.23076923,0,43.84615385,0,0,0,0.547945205
48,Amaua,8,16.52714946,25,4,High,48,Amaua_6,6,5.384615385,10,6.153846154,5.384615385,0,37.69230769,0,36.92307692,0,3.846153846,0.769230769,0.95
49,Amouli,9,12.24085675,15,3,Med,52,Amouli_4,4,44.61538462,1.538461538,0,0,0,37.69230769,0.769230769,9.230769231,0,6.153846154,0,5.35
50,Amouli,9,12.24085675,15,3,Med,51,Amouli_3,3,13.07692308,2.307692308,1.538461538,1.538461538,0,49.23076923,0,31.53846154,0,2.307692308,0,1.760869565
51,Amouli,9,12.24085675,15,3,Med,54,Amouli_6,6,35.38461538,3.076923077,0,0,0.769230769,39.23076923,0,19.23076923,0,2.307692308,0,3.5
52,Amouli,9,12.24085675,15,3,Med,50,Amouli_2,2,21.53846154,3.076923077,0.769230769,0.769230769,0,40,0,31.53846154,0,3.076923077,0,1.739130435
53,Amouli,9,12.24085675,15,3,Med,53,Amouli_5,5,27.2,1.6,0,0,0,50.4,0,17.6,0,3.2,0,3.730769231
54,Amouli,9,12.24085675,15,3,Med,49,Amouli_1,1,30.76923077,3.076923077,0,0,0.769230769,42.30769231,0,20.76923077,0,2.307692308,0,3.2
55,Aoa,10,14.465671,20,3,Med,60,Aoa_6,6,60.76923077,1.538461538,0.769230769,0.769230769,7.692307692,16.15384615,0,10.76923077,0,2.307692308,0,6.111111111
56,Aoa,10,14.465671,20,3,Med,58,Aoa_4,4,50.76923077,1.538461538,1.538461538,0,10.76923077,10,0.769230769,15.38461538,0,9.230769231,1.538461538,2.96875
57,Aoa,10,14.465671,20,3,Med,56,Aoa_2,2,37.69230769,0,3.076923077,2.307692308,13.07692308,4.615384615,0.769230769,23.84615385,0,16.92307692,0.769230769,1.303571429
58,Aoa,10,14.465671,20,3,Med,55,Aoa_1,1,41.53846154,0,4.615384615,4.615384615,2.307692308,8.461538462,1.538461538,15.38461538,0,25.38461538,0,1.152542373
59,Aoa,10,14.465671,20,3,Med,59,Aoa_5,5,43.84615385,0,0,0,24.61538462,8.461538462,0,18.46153846,0,4.615384615,0,3.333333333
60,Aoa,10,14.465671,20,3,Med,57,Aoa_3,3,59.23076923,0,0.769230769,0,18.46153846,3.846153846,0,15.38461538,0,2.307692308,0.769230769,4.652173913
61,Fagaalu,11,10.62190319,9,2,Med,62,Fagaalu_2,2,13.84615385,0,0,0,0,40.76923077,0,43.07692308,0,2.307692308,0,1.203389831
62,Fagaalu,11,10.62190319,9,2,Med,63,Fagaalu_3,3,11.53846154,0,0,0,0,31.53846154,0,54.61538462,0,2.307692308,0,0.756756757
63,Fagaalu,11,10.62190319,9,2,Med,65,Fagaalu_5,5,12.30769231,0,0,0,0,39.23076923,0,46.92307692,0,1.538461538,0,1.063492063
64,Fagaalu,11,10.62190319,9,2,Med,66,Fagaalu_6,6,7.692307692,1.538461538,0,0,0,26.15384615,0,63.07692308,0,1.538461538,0,0.523809524
65,Fagaalu,11,10.62190319,9,2,Med,64,Fagaalu_4,4,11.53846154,9.230769231,0,0,0,25.38461538,0,48.46153846,0,5.384615385,0,0.685714286
