"","unique_id","site_spc","sitename","site_code","site_no","sector","geography","reeftype","watershed","year","transect_no","photo_no","original_photo_no","spc_no","CORAL","OI","MA","MA_noHALI","BCA","CCA","SAND","FCA","RUB","TURF","ACROP","ACROPARB","ACROST","ACROTBL","ASTRP","CAUL","COSC","CTEN","CYPH","DIPLO","ECHPO","ECHPHY","FAV","FAVT","FUNG","GAL","GON","GONIO","HYD","ISOP","LEPT","LEPTOR","LEPTOS","LOBOPH","MERU","MILL","MONT","MONTI","OXYP","PACHY","PAV","PLAT","POC","POR","PORCYL","PORMAS","PORRUS","PSAM","STYLO","SYMP","TURBIN","ANEM","Rock","SC","S","Z","ASP","BG","CHLDES","DYCTY","DICT","GLXU","HALI","NEOM","NOIDMAC","BCA1","CCA1","Sand","FCA1","Rubble","Tur","site_transect"
"2610","Leone2_8_119","Leone2_8","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,5,119,15,8,40,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,"Leone2_5"
"2611","Leone2_8_120","Leone2_8","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,5,120,16,8,80,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,"Leone2_5"
"2612","Leone2_8_121","Leone2_8","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,5,121,17,8,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,80,0,0,"Leone2_5"
"2613","Leone2_8_122","Leone2_8","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,5,122,18,8,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Leone2_5"
"2614","Leone2_8_123","Leone2_8","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,5,123,19,8,0,0,0,0,0,60,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,40,"Leone2_5"
"2615","Leone2_8_124","Leone2_8","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,5,124,20,8,0,0,0,0,0,80,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,20,"Leone2_5"
"2616","Leone2_8_125","Leone2_8","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,5,125,21,8,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"Leone2_5"
"2617","Leone2_8_126","Leone2_8","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,5,126,22,8,20,0,20,20,0,40,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,40,0,20,0,0,"Leone2_5"
"2618","Leone2_8_127","Leone2_8","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,5,127,23,8,40,0,0,0,0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,20,0,0,"Leone2_5"
"2619","Leone2_8_128","Leone2_8","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,5,128,24,8,40,0,40,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,20,0,0,0,0,"Leone2_5"
"2620","Leone2_8_129","Leone2_8","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,5,129,25,8,60,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,"Leone2_5"
"2621","Leone2_8_130","Leone2_8","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,5,130,26,8,80,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,"Leone2_5"
"2622","Leone2_99_131","Leone2_99","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,131,1,99,60,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,"Leone2_6"
"2623","Leone2_99_132","Leone2_99","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,132,2,99,20,0,20,20,0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,40,0,20,0,0,"Leone2_6"
"2624","Leone2_99_133","Leone2_99","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,133,3,99,60,0,0,0,0,40,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,"Leone2_6"
"2625","Leone2_9_134","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,134,4,9,20,0,0,0,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,40,"Leone2_6"
"2626","Leone2_9_135","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,135,5,9,80,0,0,0,0,0,0,20,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,"Leone2_6"
"2627","Leone2_9_136","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,136,6,9,80,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,"Leone2_6"
"2628","Leone2_9_137","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,137,7,9,40,20,20,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,"Leone2_6"
"2629","Leone2_9_138","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,138,8,9,20,0,20,20,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,60,0,0,0,0,"Leone2_6"
"2630","Leone2_9_139","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,139,9,9,40,0,40,40,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,20,0,0,"Leone2_6"
"2631","Leone2_9_140","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,140,10,9,40,0,20,20,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,20,0,0,"Leone2_6"
"2632","Leone2_9_141","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,141,11,9,60,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,"Leone2_6"
"2633","Leone2_9_142","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,142,12,9,40,0,20,20,0,40,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,40,0,0,0,0,"Leone2_6"
"2634","Leone2_9_143","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,143,13,9,20,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,0,0,"Leone2_6"
"2635","Leone2_9_144","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,144,14,9,60,0,20,20,0,20,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,"Leone2_6"
"2636","Leone2_9_145","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,145,15,9,0,0,0,0,0,60,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,40,0,0,"Leone2_6"
"2637","Leone2_9_146","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,146,16,9,0,0,0,0,0,60,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,40,0,0,"Leone2_6"
"2638","Leone2_9_147","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,147,17,9,40,0,40,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,20,0,0,0,0,"Leone2_6"
"2639","Leone2_9_148","Leone2_9","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,148,18,9,60,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,"Leone2_6"
"2640","Leone2_99_149","Leone2_99","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,149,19,99,60,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,"Leone2_6"
"2641","Leone2_99_150","Leone2_99","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,150,20,99,0,0,60,60,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,20,0,0,0,0,40,0,0,0,0,"Leone2_6"
"2642","Leone2_99_151","Leone2_99","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,151,21,99,40,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,"Leone2_6"
"2643","Leone2_99_152","Leone2_99","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,152,22,99,60,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,"Leone2_6"
"2644","Leone2_99_153","Leone2_99","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,153,23,99,60,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,"Leone2_6"
"2645","Leone2_99_154","Leone2_99","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,154,24,99,0,0,20,20,0,60,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,60,0,20,0,0,"Leone2_6"
"2646","Leone2_99_155","Leone2_99","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,155,25,99,0,0,40,40,0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,40,0,20,0,0,"Leone2_6"
"2647","Leone2_99_156","Leone2_99","Leone2","LEONE2","TUT-21","SW","South","South","Extensive",2016,6,156,26,99,40,0,20,20,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,40,0,0,0,0,"Leone2_6"
"2648","Maloata_1_1","Maloata_1","Maloata","MALO","TUT-22","NW","North","North","Pristine",2016,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Maloata_1"
"2649","Maloata_1_2","Maloata_1","Maloata","MALO","TUT-22","NW","North","North","Pristine",2016,1,2,2,1,60,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,"Maloata_1"
"2650","Maloata_1_3","Maloata_1","Maloata","MALO","TUT-22","NW","North","North","Pristine",2016,1,3,3,1,40,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,"Maloata_1"
"2651","Maloata_1_4","Maloata_1","Maloata","MALO","TUT-22","NW","North","North","Pristine",2016,1,4,4,1,0,0,0,0,20,60,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60,0,20,0,0,"Maloata_1"
"2652","Maloata_1_5","Maloata_1","Maloata","MALO","TUT-22","NW","North","North","Pristine",2016,1,5,5,1,40,0,0,0,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,20,0,0,"Maloata_1"
"2653","Maloata_1_6","Maloata_1","Maloata","MALO","TUT-22","NW","North","North","Pristine",2016,1,6,6,1,20,0,0,0,0,60,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,20,0,0,"Maloata_1"
"2654","Maloata_1_7","Maloata_1","Maloata","MALO","TUT-22","NW","North","North","Pristine",2016,1,7,7,1,80,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,"Maloata_1"
"2655","Maloata_1_8","Maloata_1","Maloata","MALO","TUT-22","NW","North","North","Pristine",2016,1,8,8,1,60,0,0,0,20,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,"Maloata_1"
"2656","Maloata_99_9","Maloata_99","Maloata","MALO","TUT-22","NW","North","North","Pristine",2016,1,9,9,99,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Maloata_1"
"2657","Maloata_99_10","Maloata_99","Maloata","MALO","TUT-22","NW","North","North","Pristine",2016,1,10,10,99,60,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,"Maloata_1"
"2658","Maloata_99_11","Maloata_99","Maloata","MALO","TUT-22","NW","North","North","Pristine",2016,1,11,11,99,60,0,0,0,0,40,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,"Maloata_1"
