"","sitename","CORAL","OI","MA_noHALI","BCA","CCA","SAND","FCA","RUB","TURF","HALI","calcifiers","noncalcifiers","BSR"
"1","Aasu",34.4871794871795,1.02564102564103,1.02564102564103,0.897435897435897,24.3589743589744,0.256410256410256,16.4102564102564,0.256410256410256,20.3846153846154,0.897435897435897,60.6410256410257,37.8205128205128,1.60338983050848
"2","Afono",17.5333333333333,0.384615384615385,0.769230769230769,14.3128205128205,7.08205128205128,1.79487179487179,23.6205128205128,0,6.98461538461538,27.5179487179487,66.4461538461538,31.3743589743589,2.11784897025172
"3","Alega",11.2820512820513,12.0512820512821,5.64102564102564,0.512820512820513,34.6153846153846,1.28205128205128,30.2564102564103,0,1.79487179487179,2.30769230769231,48.7179487179487,37.6923076923077,1.29251700680272
"4","Alofau",12.6666666666667,0.133333333333333,4.78461538461538,2.7025641025641,14.2410256410256,0.38974358974359,50.0153846153846,0,13.2615384615385,1.80512820512821,31.4153846153846,68.0615384615385,0.461573236889692
"5","Amalau",56.8871794871795,0.769230769230769,0.133333333333333,0.256410256410256,17.7333333333333,0,20.4871794871795,0,1.67692307692308,2.05641025641026,76.9333333333333,22.2974358974359,3.45032198712051
"6","Amaluia",47.8205128205128,3.07692307692308,8.58974358974359,0,20.3846153846154,0.384615384615385,14.4871794871795,0,4.61538461538461,0.641025641025641,68.8461538461538,27.6923076923077,2.48611111111111
"7","Amanave",56.6666666666667,6.53846153846154,0.128205128205128,0.256410256410256,25.6410256410256,0,9.35897435897436,0,1.41025641025641,0,82.5641025641026,10.8974358974359,7.57647058823529
"8","Amaua",10.3846153846154,5.25641025641026,12.3076923076923,0,29.7435897435897,0,39.8717948717949,0,2.30769230769231,0.128205128205128,40.2564102564102,54.4871794871795,0.738823529411764
"9","Amouli",28.7641025641026,2.44615384615385,0.384615384615385,0.256410256410256,43.1435897435897,0.128205128205128,21.6512820512821,0,3.22564102564103,0,72.1641025641026,25.2615384615385,2.85667884693463
"10","Aoa",48.974358974359,0.512820512820513,1.28205128205128,12.8205128205128,8.58974358974359,0.512820512820513,16.5384615384615,0,10.1282051282051,0.512820512820513,70.8974358974359,27.9487179487179,2.53669724770643
"11","Fagaalu",9.61538461538461,1.79487179487179,0,0,32.5641025641026,0,53.0769230769231,0,2.69230769230769,0.256410256410256,42.4358974358975,55.7692307692308,0.760919540229885
"12","Fagaitua",41.4102564102564,1.28205128205128,0.769230769230769,4.23076923076923,30,0,15.6410256410256,0.128205128205128,5.38461538461539,1.15384615384615,76.7948717948718,21.7948717948718,3.52352941176471
"13","Fagamalo",21.5384615384615,0,0.128205128205128,1.28205128205128,32.4358974358974,0.128205128205128,23.974358974359,0,17.8205128205128,1.41025641025641,56.6666666666666,41.9230769230769,1.35168195718654
