"","dispersion","ACROP","ACROPARB","ACROST","ACROTBL","ASTRP","CAUL","COSC","CTEN","CYPH","DIPLO","ECHPO","ECHPHY","FAV","FAVT","FUNG","GAL","GON","GONIO","HYD","ISOP","LEPT","LEPTOR","LEPTOS","LOBOPH","MERU","MILL","MONT","MONTI","OXYP","PACHY","PAV","PLAT","POC","POR","PORCYL","PORMAS","PORRUS","PSAM","STYLO","SYMP","TURBIN"
"1","High",0.569230769230769,0.0915750915750917,0,0.586813186813187,0.183150183150183,0,0.166300366300366,0,0,0.170695970695971,0.0915750915750916,0,0.147252747252747,0.054945054945055,0.0366300366300366,0.128937728937729,0.0556776556776557,0.274725274725275,0,0.0366300366300366,0.0915750915750916,0.0366300366300366,0.0183150183150183,0.625641025641026,0.0373626373626374,0.0183150183150183,0.0915750915750916,4.73333333333333,0,0,0.990476190476191,0.10989010989011,0.495238095238095,0,0.659340659340659,1.39267399267399,5.15531135531136,0,0,0,0
"2","Low",3.19267399267399,2.31648351648352,0.238095238095238,2.38608058608059,0.147252747252747,0,0.402930402930403,0.0366300366300367,0.0183150183150183,0,0.0549450549450549,0.0915750915750917,0.552380952380953,0.220512820512821,0.0366300366300366,0.0732600732600732,0.257142857142857,0.366300366300366,0.128205128205128,1.77655677655677,1.01025641025641,0.0732600732600733,0.0366300366300366,0.201465201465201,0.054945054945055,0.10989010989011,0.753113553113554,23.767032967033,0.0183150183150183,0.110622710622711,6.13626373626374,0.274725274725275,1.15531135531136,0.0183150183150183,0.0183150183150183,0.256410256410257,3.2974358974359,0.21978021978022,0,0.0183150183150183,0.0732600732600733
"3","Med",1.33699633699634,0.384981684981685,0.430402930402931,0.752014652014653,0.11978021978022,0.0183150183150183,0.238095238095238,0,0.0274725274725275,0.0835164835164836,0.247252747252747,0.0457875457875458,0.377289377289378,0.284249084249084,0.054945054945055,0.274725274725275,0.201465201465202,0.228937728937729,0.10989010989011,4.65531135531136,0.404761904761905,0.0732600732600733,0.00915750915750916,0.531135531135531,0.494505494505494,0.0457875457875458,0.211721611721612,7.25311355311355,0,0,1.65970695970696,0.0915750915750916,0.753113553113553,0.036996336996337,0.119047619047619,0.604761904761905,6.37472527472528,0.100732600732601,0.00915750915750916,0,0.366300366300366
